SourceSite;TravelTime in sec;DestinationSite
STO_008;1884;STO_018
STO_008;1733;STO_019
STO_008;2532;STO_020
STO_008;1687;STO_021
STO_008;2072;STO_022
STO_008;3280;STO_023
STO_008;542;STO_024
STO_008;3311;STO_025
STO_008;3499;STO_026
STO_008;3003;STO_027
STO_008;2139;STO_028
STO_008;4731;STO_029
STO_008;3697;STO_030
STO_008;2685;STO_031
STO_008;308;STO_032
STO_008;2932;STO_033
STO_008;2241;STO_034
STO_008;1893;STO_035
STO_008;3646;STO_036
STO_008;1930;STO_037
STO_008;736;STO_038
STO_008;2591;STO_039
STO_008;2411;STO_040
STO_008;2982;STO_041
STO_008;1925;STO_042
STO_008;2244;STO_043
STO_008;2713;STO_044
STO_008;2415;STO_045
STO_008;1228;STO_046
STO_008;1126;STO_047
STO_008;1922;STO_048
STO_009;1433;HUB_001
STO_009;630;STO_002
STO_009;2206;STO_003
STO_009;1142;STO_004
STO_009;1475;STO_005
STO_009;680;STO_006
STO_009;1271;STO_007
STO_009;1401;STO_008
STO_009;0;STO_009
STO_009;1898;STO_010
STO_009;2925;STO_011
STO_009;1897;STO_012
STO_009;2152;STO_013
STO_009;2967;STO_014
STO_009;2314;STO_015
STO_009;648;STO_016
STO_009;1582;STO_017
STO_009;723;STO_018
STO_009;1096;STO_019
STO_009;1302;STO_020
STO_009;453;STO_021
STO_009;1098;STO_022
STO_009;1902;STO_023
STO_009;994;STO_024
STO_009;2293;STO_025
STO_009;2402;STO_026
STO_009;1675;STO_027
STO_009;1679;STO_028
STO_009;3380;STO_029
STO_009;2542;STO_030
STO_009;1767;STO_031
STO_009;1118;STO_032
STO_009;1535;STO_033
STO_009;989;STO_034
STO_009;497;STO_035
STO_009;2572;STO_036
STO_009;1094;STO_037
STO_009;1106;STO_038
STO_009;1320;STO_039
STO_009;1362;STO_040
STO_009;2076;STO_041
STO_009;954;STO_042
STO_009;1622;STO_043
STO_009;1662;STO_044
STO_009;1076;STO_045
STO_009;1296;STO_046
STO_009;536;STO_047
STO_009;1068;STO_048
STO_010;2738;HUB_001
STO_010;2510;STO_002
STO_010;3270;STO_003
STO_010;944;STO_004
STO_010;547;STO_005
STO_010;1261;STO_006
STO_010;907;STO_007
STO_010;3253;STO_008
STO_010;1898;STO_009
STO_010;0;STO_010
STO_010;1443;STO_011
STO_010;739;STO_012
STO_010;774;STO_013
STO_010;1868;STO_014
STO_010;3529;STO_015
STO_010;1641;STO_016
STO_010;2116;STO_017
STO_010;1885;STO_018
STO_010;1903;STO_019
STO_010;836;STO_020
STO_010;1568;STO_021
STO_010;1441;STO_022
STO_010;1092;STO_023
STO_010;2758;STO_024
STO_010;1311;STO_025
STO_010;2427;STO_026
STO_010;283;STO_027
STO_010;2969;STO_028
STO_010;2220;STO_029
STO_010;2358;STO_030
STO_010;1411;STO_031
STO_010;2995;STO_032
STO_010;532;STO_033
STO_010;1047;STO_034
STO_010;1409;STO_035
STO_010;2582;STO_036
STO_010;1648;STO_037
STO_010;2990;STO_038
STO_010;727;STO_039
STO_010;2095;STO_040
STO_010;2632;STO_041
STO_010;1517;STO_042
STO_010;2779;STO_043
STO_010;1122;STO_044
STO_010;837;STO_045
STO_010;3056;STO_046
STO_010;2151;STO_047
STO_010;1631;STO_048
STO_011;3141;HUB_001
STO_011;3550;STO_002
STO_011;3361;STO_003
STO_011;2304;STO_004
STO_011;1523;STO_005
STO_011;2254;STO_006
STO_011;1654;STO_007
STO_011;4323;STO_008
STO_011;2925;STO_009
STO_011;1443;STO_010
STO_011;0;STO_011
STO_011;2153;STO_012
STO_011;792;STO_013
STO_011;658;STO_014
STO_011;3685;STO_015
STO_011;2909;STO_016
STO_011;2245;STO_017
STO_011;2557;STO_018
STO_011;3270;STO_019
STO_011;2236;STO_020
STO_011;2751;STO_021
STO_011;2826;STO_022
STO_011;1082;STO_023
STO_011;3903;STO_024
STO_011;2656;STO_025
STO_011;1999;STO_026
STO_011;1708;STO_027
STO_011;3301;STO_028
STO_011;854;STO_029
STO_011;1787;STO_030
STO_011;2853;STO_031
STO_011;4029;STO_032
STO_011;1456;STO_033
STO_011;2361;STO_034
STO_011;2449;STO_035
STO_011;2077;STO_036
STO_011;3028;STO_037
STO_011;3869;STO_038
STO_011;2113;STO_039
STO_011;2375;STO_040
STO_011;2534;STO_041
STO_011;2869;STO_042
STO_011;3066;STO_043
STO_011;2566;STO_044
STO_011;2083;STO_045
STO_011;3756;STO_046
STO_011;3333;STO_047
STO_011;3007;STO_048
STO_012;3051;HUB_001
STO_012;2422;STO_002
STO_012;3688;STO_003
STO_012;754;STO_004
STO_012;1076;STO_005
STO_012;1434;STO_006
STO_012;1384;STO_007
STO_012;3084;STO_008
STO_012;1897;STO_009
STO_012;739;STO_010
STO_012;2153;STO_011
STO_012;0;STO_012
STO_012;1513;STO_013
STO_012;2607;STO_014
STO_012;3907;STO_015
STO_012;1414;STO_016
STO_012;2609;STO_017
STO_012;2149;STO_018
STO_012;1478;STO_019
STO_012;595;STO_020
STO_012;1466;STO_021
STO_012;1039;STO_022
STO_012;1780;STO_023
STO_012;2550;STO_024
STO_012;600;STO_025
STO_012;3062;STO_026
STO_012;567;STO_027
STO_012;3299;STO_028
STO_012;2953;STO_029
STO_012;3027;STO_030
STO_012;730;STO_031
STO_012;2874;STO_032
STO_012;1103;STO_033
STO_012;907;STO_034
STO_012;1497;STO_035
STO_012;3227;STO_036
STO_012;1224;STO_037
STO_012;2992;STO_038
STO_012;603;STO_039
STO_012;2530;STO_040
STO_012;3160;STO_041
STO_012;1170;STO_042
STO_012;3144;STO_043
STO_012;479;STO_044
STO_012;912;STO_045
STO_012;3176;STO_046
STO_012;1960;STO_047
STO_012;1219;STO_048
STO_013;2563;HUB_001
STO_013;2781;STO_002
STO_013;2931;STO_003
STO_013;1531;STO_004
STO_013;731;STO_005
STO_013;1475;STO_006
STO_013;886;STO_007
STO_013;3554;STO_008
STO_013;2152;STO_009
STO_013;774;STO_010
STO_013;792;STO_011
STO_013;1513;STO_012
STO_013;0;STO_013
STO_013;1100;STO_014
STO_013;3231;STO_015
STO_013;2117;STO_016
STO_013;1754;STO_017
STO_013;1861;STO_018
STO_013;2488;STO_019
STO_013;1479;STO_020
STO_013;1959;STO_021
STO_013;2053;STO_022
STO_013;508;STO_023
STO_013;3119;STO_024
STO_013;2081;STO_025
STO_013;1819;STO_026
STO_013;992;STO_027
STO_013;2757;STO_028
STO_013;1470;STO_029
STO_013;1696;STO_030
STO_013;2158;STO_031
STO_013;3265;STO_032
