"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_315";"Mo-Sa";"01:00";"00:00"
"STO_316";"Mo-Sa";"01:00";"00:00"
"STO_317";"Mo-Sa";"06:00";"22:00"
"STO_318";"Mo-Sa";"01:00";"00:00"
"STO_319";"Mo-Sa";"01:00";"00:00"
"STO_320";"Mo-Sa";"07:00";"22:00"
"STO_321";"Mo-Sa";"06:00";"22:00"
"STO_322";"Mo-Sa";"06:00";"20:00"
"STO_323";"Mo-Sa";"06:00";"22:00"
"STO_324";"Mo-Sa";"01:00";"00:00"
"STO_325";"Mo-Sa";"01:00";"00:00"
"STO_326";"Mo-Sa";"06:00";"22:00"
"STO_327";"Mo-Sa";"01:00";"00:00"
"STO_328";"Mo-Sa";"01:00";"00:00"
"STO_329";"Mo-Sa";"06:00";"22:00"
"STO_330";"Mo-Sa";"01:00";"00:00"
"STO_331";"Mo-Sa";"01:00";"00:00"
"STO_332";"Mo-Sa";"01:00";"00:00"
"STO_333";"Mo-Sa";"01:00";"00:00"
"STO_334";"Mo-Sa";"06:00";"22:00"
"STO_335";"Mo-Sa";"01:00";"00:00"
"STO_336";"Mo-Sa";"01:00";"00:00"
"STO_337";"Mo-Sa";"01:00";"00:00"
"STO_338";"Mo-Sa";"01:00";"00:00"
"STO_339";"Mo-Sa";"06:00";"22:00"
"STO_340";"Mo-Sa";"01:00";"00:00"
"STO_341";"Mo-Sa";"01:00";"00:00"
"STO_342";"Mo-Sa";"01:00";"00:00"
"STO_343";"Mo-Sa";"01:00";"00:00"
"STO_344";"Mo-Sa";"01:00";"00:00"
"STO_345";"Mo-Sa";"01:00";"00:00"
"STO_346";"Mo-Sa";"06:00";"22:00"
"STO_347";"Mo-Sa";"01:00";"00:00"
"STO_348";"Mo-Sa";"01:00";"00:00"
"STO_349";"Mo-Sa";"01:00";"00:00"
"STO_350";"Mo-Sa";"01:00";"00:00"
"STO_351";"Mo-Sa";"06:00";"22:00"
"STO_352";"Mo-Sa";"01:00";"00:00"
"STO_353";"Mo-Sa";"01:00";"00:00"
"STO_354";"Mo-Sa";"01:00";"00:00"
"STO_355";"Mo-Sa";"01:00";"00:00"
"STO_356";"Mo-Sa";"01:00";"00:00"
"STO_357";"Mo-Sa";"07:00";"19:00"
"STO_358";"Mo-Sa";"01:00";"00:00"
"STO_359";"Mo-Sa";"01:00";"00:00"
"STO_360";"Mo-Sa";"06:00";"22:00"
"STO_361";"Mo-Sa";"06:00";"22:00"
"STO_362";"Mo-Sa";"06:00";"22:00"
"STO_363";"Mo-Sa";"01:00";"00:00"
"STO_364";"Mo-Sa";"06:00";"07:30"
"STO_365";"Mo-Sa";"01:00";"00:00"
"STO_366";"Mo-Sa";"01:00";"00:00"
"STO_367";"Mo-Sa";"07:00";"22:00"
"STO_368";"Mo-Sa";"06:00";"22:00"
"STO_369";"Mo-Sa";"01:00";"00:00"
"STO_370";"Mo-Sa";"06:00";"22:00"
"STO_371";"Mo-Sa";"01:00";"00:00"
"STO_372";"Mo-Sa";"01:00";"00:00"
"STO_373";"Mo-Sa";"01:00";"00:00"
"STO_374";"Mo-Sa";"01:00";"00:00"
"STO_375";"Mo-Sa";"06:00";"22:00"
"STO_376";"Mo-Sa";"01:00";"00:00"
"STO_377";"Mo-Sa";"01:00";"00:00"
"STO_378";"Mo-Sa";"01:00";"00:00"
"STO_379";"Mo-Sa";"06:00";"22:00"
"STO_380";"Mo-Sa";"01:00";"00:00"
"STO_381";"Mo-Sa";"01:00";"00:00"
"STO_382";"Mo-Sa";"06:00";"22:00"
"STO_383";"Mo-Sa";"06:00";"22:00"
"STO_384";"Mo-Sa";"06:00";"22:00"
"STO_385";"Mo-Sa";"01:00";"00:00"
"STO_386";"Mo-Sa";"06:00";"22:00"
"STO_387";"Mo-Sa";"01:00";"00:00"
"STO_388";"Mo-Sa";"06:00";"22:00"
"STO_389";"Mo-Sa";"06:00";"22:00"
"STO_390";"Mo-Sa";"01:00";"00:00"
"STO_391";"Mo-Sa";"01:00";"00:00"
